abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
曙光数创,1115600.01,19460.33,872808,20000.00,1085497.00
花溪科技,107734.74,2873.69,872895,5652.40,54772.53
锦好医疗,160987.59,5529.51,872925,9768.66,91126.25
无锡鼎邦,151039.44,2877.58,872931,9393.00,46271.49
国子软件,506855.52,2726.37,872953,9190.49,150359.12
纬达光电,333433.96,8869.10,873001,15365.62,192459.51
中纺标,433076.70,3408.91,873122,9224.21,160048.50
泰鹏智能,197121.12,2812.32,873132,8282.40,66933.28
天宏锂电,193188.55,6823.12,873152,10265.07,128411.19
新赣江,184097.53,4178.19,873167,7086.12,108549.29
七丰精工,223900.62,5081.20,873169,8174.54,139174.04
荣亿精密,189056.57,8158.38,873223,15728.50,98063.67
九菱科技,265957.69,3627.72,873305,6486.77,148736.48
恒太照明,245967.64,15089.71,873339,22020.38,168552.10
夜光明,119545.02,3634.80,873527,6004.27,72368.84
坤博精工,196027.18,2238.97,873570,4560.89,96230.94
天力复合,343192.50,10712.99,873576,10895.00,337459.30
鼎智科技,694763.65,11543.59,873593,13446.17,596457.36
科强股份,181986.00,6407.17,873665,12999.00,89700.34
前进科技,113766.45,2613.05,873679,5585.00,53227.83
捷众科技,161109.00,3062.64,873690,6630.00,74422.15
阿为特,317917.10,3661.00,873693,7270.00,160095.53
广厦环能,267750.42,5447.51,873703,10766.00,135479.59
铁拓机械,181576.31,4234.69,873706,9240.52,83211.60
卓兆点胶,252879.99,2326.18,873726,8207.72,71669.47
云星宇,470652.88,30073.67,873806,30073.67,470652.88
美心翼申,194369.60,3172.73,873833,8236.00,74876.51
万达轴承,756324.33,575.00,920002,3250.21,133802.50
成电光信,275846.25,3317.43,920008,6375.00,143545.23
中草香料,191531.04,2635.91,920016,7698.19,65581.49
铜冠矿建,441139.54,5586.49,920019,21026.67,117204.56
开发科技,1545391.94,3179.33,920029,13888.67,353764.43
万源通,482589.76,6390.13,920060,15204.47,202822.64
科拜尔,198796.09,1203.16,920066,4489.52,53275.96
方正阀门,289547.16,3243.24,920082,14535.50,64605.37
科力股份,231892.26,1995.00,920088,8807.15,52528.35
科隆新材,266649.49,4353.77,920098,8132.04,142760.21
瑞华技术,266481.59,3938.44,920099,7840.00,133867.69
林泰新材,581772.85,1210.57,920106,3987.75,176610.71
宏海科技,314511.00,2328.78,920108,12300.00,59546.78
聚星科技,449327.43,3688.85,920111,15515.45,106829.10
星图测控,1255831.50,3657.50,920116,15977.50,287479.50
太湖远大,142203.42,2196.40,920118,5089.60,61367.42
胜业电气,257534.68,2070.00,920128,8119.00,65660.40
同享科技,220180.19,6527.44,920167,10970.61,131005.80
龙竹科技,149133.98,10526.28,920445,14693.00,106841.73
佳先股份,320679.12,8569.37,920489,13645.92,201380.31
球冠电缆,339892.80,15693.70,920682,27040.00,197269.83
艾融软件,1260778.10,11778.46,920799,20978.00,707885.27
颖泰生物,525868.20,120158.00,920819,122580.00,515477.82
