company,job,city,min_salary,max_salary,experience,education,financing,size,insurance,bonus,examination,weekend,prospect,team,travel,train
中信银行,python开发工程师,北京,25000.0,50000.0,3-5年,本科,上市公司,150-500人,N,N,N,N,N,Y,N,N
探月科技,python开发工程师,长沙,11000.0,20000.0,1-3年,本科,未融资,50-150人,Y,N,N,Y,N,N,N,N
玄信资产,python开发工程师,上海,10000.0,20000.0,1年以下,本科,不需要融资,15-50人,N,N,Y,N,Y,N,N,N
微创软件,python开发工程师,深圳,8000.0,10000.0,1-3年,本科,不需要融资,2000人以上,Y,N,N,Y,N,N,N,N
灰白科技,python开发工程师,上海,15000.0,22000.0,3-5年,本科,未融资,50-150人,N,N,N,N,N,N,N,N
热刺激光,python开发工程师,北京,20000.0,30000.0,5-10年,本科,未融资,500-2000人,N,N,N,N,N,N,N,N
微创软件,python开发工程师,上海,9000.0,13000.0,1-3年,大专,不需要融资,2000人以上,Y,N,N,Y,N,N,N,N
合十思维,python开发工程师,北京,20000.0,35000.0,3-5年,本科,未融资,150-500人,N,N,N,N,N,N,N,N
信永中和,python工程师,北京,5000.0,10000.0,在校/应届,本科,不需要融资,2000人以上,N,N,N,N,N,N,N,N
长亭科技,python开发工程师,北京,18000.0,25000.0,1-3年,本科,不需要融资,500-2000人,N,N,N,N,N,N,N,N
软通动力,python开发工程师,东莞,15000.0,20000.0,5-10年,本科,不需要融资,2000人以上,N,N,N,Y,N,N,N,N
加绩中国,python开发工程师,上海,11000.0,12000.0,1-3年,本科,不需要融资,2000人以上,N,N,N,N,N,N,N,N
德科信息,python开发,上海,11000.0,16000.0,3-5年,本科,不需要融资,2000人以上,N,N,N,N,N,N,N,N
至婧科技,python开发工程师,深圳,18000.0,30000.0,3-5年,大专,未融资,150-500人,N,Y,N,N,N,N,N,N
棱镜七彩,python开发工程师,北京,15000.0,25000.0,1-3年,本科,B轮,50-150人,N,N,N,N,N,N,N,N
瞬息创联,python开发工程师,贵阳,8000.0,14000.0,3-5年,本科,未融资,15-50人,Y,N,N,N,N,N,N,N
志诺维思,Python开发工程师,北京,15000.0,20000.0,不限,本科,B轮,15-50人,Y,N,N,N,N,N,N,N
四川汉科,python开发工程师,成都,10000.0,20000.0,3-5年,本科,不需要融资,150-500人,N,N,N,N,Y,N,N,N
广州新晨,python开发工程师,北京,9000.0,15000.0,不限,大专,上市公司,50-150人,Y,N,N,Y,N,N,N,N
金松瑞科,python开发,上海,13000.0,17000.0,不限,不限,未融资,15-50人,N,N,N,N,N,N,N,N
赞同科技,python开发,佛山,9000.0,14000.0,1-3年,本科,不需要融资,2000人以上,Y,N,N,Y,N,N,N,N
魔拟科技,python工程师,深圳,9000.0,18000.0,不限,大专,不需要融资,500-2000人,N,N,N,N,N,N,N,N
麦穗人工智能,python开发工程师,上海,15000.0,25000.0,在校/应届,本科,B轮,50-150人,N,N,N,Y,N,N,N,N
河北惠途,python开发工程师,衡水,6000.0,9000.0,3-5年,大专,未融资,15-50人,N,N,N,N,N,N,N,N
蔚县铭裕,python开发工程师,张家口,6000.0,10000.0,1-3年,本科,未融资,15-50人,N,N,N,N,N,N,N,N
滴石文化,python开发工程师,广州,5000.0,8000.0,1年以下,本科,未融资,少于15人,N,N,N,N,N,N,N,N
安技汇,python开发,北京,20000.0,35000.0,5-10年,不限,未融资,少于15人,N,N,N,N,N,N,N,N
探越科技,python工程师,武汉,15000.0,25000.0,3-5年,本科,未融资,15-50人,N,N,N,N,N,N,N,N
即刻卡时,python开发工程师,北京,15000.0,30000.0,1-3年,本科,A轮,50-150人,N,N,N,N,N,Y,N,N
聚名科技,python开发工程师,合肥,10000.0,15000.0,3-5年,本科,不需要融资,150-500人,N,N,N,N,N,Y,N,N
聚名科技,python开发工程师,合肥,10000.0,15000.0,3-5年,本科,不需要融资,150-500人,N,N,N,N,N,N,N,N
westwell西井科技,python开发工程师,上海,20000.0,35000.0,3-5年,本科,D轮及以上,500-2000人,N,N,N,N,N,Y,N,N
京北方,python开发工程师,上海,13000.0,18000.0,1-3年,本科,上市公司,2000人以上,Y,N,N,N,N,N,N,N
坚持一下科技,python开发工程师,重庆,12000.0,18000.0,3-5年,大专,天使轮,15-50人,N,N,N,N,Y,N,N,N
赶车科技,python开发工程师,重庆,5000.0,6000.0,不限,不限,未融资,15-50人,N,N,N,Y,N,N,N,N
多变,python工程师,北京,10000.0,20000.0,1-3年,本科,未融资,50-150人,N,N,N,N,N,N,N,N
热刺激光,python开发工程师,北京,15000.0,25000.0,3-5年,本科,未融资,500-2000人,Y,N,N,N,N,N,N,N
