,abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
1499,新宁物流,221668.48,44606.09,300013,55835.89,177086.16
1500,亿纬锂能,8862065.52,186143.46,300014,204572.15,8063734.89
1501,爱尔眼科,11994540.64,793095.92,300015,932701.45,10199213.5
1502,北陆药业,325668.9,49117.74,300016,49194.7,325159.42
1503,网宿科技,2844386.98,228795.69,300017,244573.26,2660893.9
1504,中元股份,346198.71,38107.15,300018,48083.15,274371.51
1505,硅宝科技,724514.08,34529.28,300019,39311.67,636374.65
1506,*ST银江,304361.66,76663.96,300020,79467.8,293622.96
1507,大禹节水,424068.09,71756.6,300021,87077.64,349454.65
1508,吉峰科技,411208.0,49422.94,300022,49424.04,411198.89
1509,机器人,2658422.68,153329.8,300024,156562.0,2603539.93
1510,华星创业,357172.63,43177.35,300025,50879.29,303105.01
1511,红日药业,1021412.64,276342.32,300026,300415.48,939563.88
1512,华谊兄弟,674204.94,248487.88,300027,277450.59,603825.55
1513,*ST天龙,101857.3,20036.03,300029,20050.65,101783.01
1514,阳普医疗,190150.2,25992.47,300030,30918.73,159853.67
1515,宝通科技,1200097.26,35197.55,300031,41873.6,1008761.88
1516,金龙机电,415238.69,80316.76,300032,80316.96,415237.65
1517,同花顺,13971148.8,27550.56,300033,53760.0,7159839.04
1518,钢研高纳,1270356.73,76637.41,300034,79696.16,1221600.25
1519,中科电气,1072007.31,58335.14,300035,68542.67,912361.56
1520,超图软件,718453.73,43847.78,300036,49276.66,639300.6
1521,新宙邦,2401872.74,54618.91,300037,75388.35,1740158.34
1522,上海凯宝,627600.0,91692.62,300039,104600.0,550155.74
1523,九洲集团,476269.6,47683.85,300040,60287.29,376702.44
1524,回天新材,497336.85,54442.72,300041,55943.4,483995.81
1525,朗科科技,495589.2,20038.16,300042,20040.0,495543.57
1526,星辉娱乐,449155.62,124353.95,300043,124419.84,448917.76
1527,ST赛为,278048.4,76375.75,300044,76386.92,278007.73
1528,华力创通,1225949.19,51631.32,300045,66267.52,955179.38
1529,台基股份,731591.53,23653.14,300046,23653.14,731591.53
1530,天源迪科,987228.75,54971.9,300047,63774.47,850965.03
1531,合康新能,617535.85,111562.7,300048,111670.14,616941.72
1532,福瑞股份,836358.15,23351.52,300049,26635.61,733237.78
1533,世纪鼎利,298031.15,54451.45,300050,54484.67,297849.46
1534,琏升科技,246248.57,36566.74,300051,37197.67,242071.83
1535,ST中青宝,244837.89,26184.87,300052,26185.87,244828.54
1536,航宇微,850186.67,65081.89,300053,69687.43,793999.09
1537,鼎龙股份,2741690.95,72818.45,300054,93829.26,2127755.02
1538,万邦达,448497.79,63270.11,300055,83674.96,339127.81
1539,中创环保,481863.05,38519.45,300056,38549.04,481493.12
1540,万顺新材,426045.69,71685.27,300057,88944.82,343372.45
1541,蓝色光标,2167997.6,244809.59,300058,252680.37,2100466.3
1542,东方财富,32881284.98,1335927.87,300059,1578554.25,27827377.5
1543,旗天科技,758501.72,62053.97,300061,65899.37,714241.24
1544,中能电气,283818.74,38611.15,300062,55760.07,196530.78
1545,天龙集团,644748.08,62524.59,300063,75852.72,531459.02
1546,海兰信,1165039.61,65584.66,300065,72049.45,1060503.97
1547,三川智慧,437854.0,100591.03,300066,104003.33,423488.26
1548,安诺其,618744.77,93748.37,300067,115437.46,502491.25
1549,南都电源,1341671.55,85239.04,300068,89803.99,1273471.32
1550,金利华电,200070.0,11700.0,300069,11700.0,200070.0
1551,碧水源,1649015.26,343458.1,300070,362420.94,1562734.35
1552,福石控股,485797.71,94535.09,300071,96388.43,476456.84
1553,海新能科,704916.09,233136.01,300072,234972.03,699408.02
1554,当升科技,2026003.1,50597.13,300073,50650.08,2023885.25
1555,华平股份,242530.43,54213.23,300074,54379.02,241791.0
1556,数字政通,1038529.62,51439.07,300075,62113.02,860061.29
1557,GQY视讯,292984.0,42400.0,300076,42400.0,292984.0
1558,国民技术,1431576.05,56702.99,300077,58312.67,1392058.4
1559,思创医惠,393491.02,111336.71,300078,111787.22,391905.24
1560,数码视讯,762294.86,128147.97,300079,142751.85,684310.14
1561,易成新能,704391.04,187012.07,300080,187338.04,703165.39
1562,恒信东方,383440.29,60470.38,300081,60479.54,383382.24
1563,奥克股份,425061.38,67820.77,300082,68009.82,423879.84
1564,创世纪,1423457.51,149303.52,300083,166486.26,1276545.11
1565,海默科技,362786.26,34459.76,300084,51024.79,245008.88
1566,银之杰,2199065.34,63486.64,300085,70664.05,1975704.11
1567,康芝药业,220735.34,44068.25,300086,45512.44,213731.02
1568,荃银高科,903754.49,89369.73,300087,94733.18,852587.22
1569,长信科技,1486151.48,248550.36,300088,249773.36,1478874.67
1570,金通灵,430368.46,141329.12,300091,148916.42,408441.17
1571,科新机电,342130.17,20986.63,300092,27392.33,262122.95
1572,*ST金刚,196776.0,21565.68,300093,21600.0,196463.34
1573,国联水产,389217.7,110551.74,300094,112816.73,381403.5
1574,华伍股份,409587.91,33872.71,300095,42009.02,330258.9
1575,ST易联众,183180.0,43000.0,300096,43000.0,183180.0
1576,ST智云,130135.9,27000.99,300097,28854.97,121774.49
1577,高新兴,874104.48,154174.36,300098,173778.23,775497.04
1578,尤洛卡,517560.21,58141.22,300099,73726.53,408151.39
1579,双林股份,3060737.03,38768.79,300100,40172.42,2953793.99
1580,振芯科技,1003489.37,56604.34,300101,56790.57,1000198.71
1581,乾照光电,995801.24,91226.54,300102,92033.39,987071.12
1582,达刚控股,194054.21,31734.06,300103,31760.1,193895.11
1583,龙源技术,374481.27,51321.35,300105,51581.44,372593.02
1584,西部牧业,230352.22,21133.23,300106,21133.23,230352.22
1585,建新股份,452316.14,34718.32,300107,56258.23,279135.29
1586,*ST吉药,13986.31,65324.34,300108,66601.47,13718.11
1587,新开源,767280.11,44833.85,300109,48470.0,709719.88
1588,华仁药业,361757.17,118117.76,300110,118221.3,361440.35
1589,向日葵,387450.42,128721.07,300111,128721.07,387450.42
1590,万讯自控,244650.58,23764.21,300112,29194.58,199144.05
1591,顺网科技,1289889.2,51814.59,300113,68356.61,977741.4
1592,长盈精密,2891041.76,135210.14,300115,135602.33,2882680.11
1593,东方日升,1060212.89,92682.61,300118,114001.39,861948.25
1594,瑞普生物,968031.95,33496.2,300119,46584.79,696051.08
1595,经纬辉开,462961.51,52744.7,300120,57439.39,425122.28
1596,阳谷华泰,524550.23,43288.57,300121,44871.7,506043.38
1597,智飞生物,4610439.05,141430.62,300122,239378.97,2723953.83
1598,亚光科技,673388.69,100037.38,300123,102183.41,659246.35
1599,汇川技术,18724021.93,238743.49,300124,269526.73,16585510.01
1600,*ST聆达,183841.2,26544.21,300125,26760.0,182358.69
1601,锐奇股份,209730.74,21065.27,300126,30395.76,145350.37
1602,银河磁体,837918.51,23081.61,300127,32314.64,598506.25
1603,锦富技术,724906.4,129771.7,300128,129911.54,724126.11
1604,泰胜风能,616098.59,66451.73,300129,93489.92,437916.89
1605,新国都,1328070.03,43401.29,300130,56706.66,1016458.29
1606,英唐智控,805863.83,104226.75,300131,113501.95,740009.94
1607,青松股份,284119.49,50808.13,300132,51658.09,279444.71
1608,华策影视,1342158.03,162384.2,300133,190107.37,1146432.47
1609,大富科技,924835.1,69405.8,300134,76749.8,836339.9
1610,宝利国际,355737.6,92160.0,300135,92160.0,355737.6
1611,信维通信,2022218.45,82456.79,300136,96756.86,1723346.97
1612,ST先河,331071.22,52677.76,300137,53658.22,325021.81
1613,晨光生物,557014.41,39831.33,300138,48310.01,459255.23
1614,晓程科技,504708.0,23365.17,300139,27400.0,430386.48
1615,节能环境,1825350.47,102012.12,300140,309906.7,600851.42
1616,和顺电气,221133.49,25266.98,300141,25388.46,220075.39
1617,沃森生物,1620140.07,155941.03,300142,159934.85,1579682.58
1618,盈康生命,696240.54,64137.67,300143,74945.16,595838.94
1619,宋城演艺,2394498.11,235536.25,300144,262267.04,2150445.98
1620,中金环境,689603.18,190399.33,300145,192090.02,683533.6
1621,汤臣倍健,1898143.5,112998.71,300146,170084.54,1261065.56
1622,ST香雪,487362.66,65745.9,300147,66127.9,484547.31
1623,天舟文化,381750.08,80162.93,300148,83533.93,366344.61
1624,睿智医药,310729.53,49708.44,300149,49796.4,310180.67
1625,世纪瑞尔,274414.74,51473.39,300150,58510.61,241410.22
1626,昌红科技,701313.95,36869.7,300151,53250.87,485573.93
1627,ST新动力,185328.0,71249.85,300152,71280.0,185249.61
1628,科泰电源,1050560.0,31833.01,300153,32000.0,1045077.78
1629,瑞凌股份,453151.64,31530.45,300154,44955.52,317826.89
1630,安居宝,257042.31,33070.94,300155,56122.77,151464.89
1631,新锦动力,258999.31,70422.66,300157,72548.83,251408.9
1632,振东制药,392074.7,100253.72,300158,100531.98,390989.49
1633,*ST新研,297389.25,147183.92,300159,150196.59,291424.16
1634,秀强股份,428212.25,76235.95,300160,77294.63,422347.17
1635,华中数控,554960.46,19499.49,300161,19869.69,544620.76
1636,雷曼光电,281910.74,34216.18,300162,41951.0,229932.72
1637,ST先锋,163530.0,42545.91,300163,47400.0,146783.37
1638,通源石油,235383.45,58321.08,300164,58845.86,233284.31
1639,ST天瑞,164509.89,42053.21,300165,49551.17,139616.66
1640,东方国信,1144439.48,90577.76,300166,113874.57,910306.45
1641,*ST迪威,137009.0,35408.5,300167,36055.0,134552.3
1642,万达信息,1056822.63,143918.25,300168,144177.71,1054920.81
1643,天晟新材,232752.82,30173.58,300169,32598.43,215439.35
1644,汉得信息,1853479.63,94761.11,300170,98484.57,1783404.03
1645,东富龙,916696.16,56265.74,300171,76582.8,673500.85
1646,中电环保,340385.13,52351.24,300172,67671.0,263326.73
1647,福能东方,413650.57,73472.57,300173,73472.57,413650.57
1648,元力股份,545951.33,36294.44,300174,36421.04,544053.66
1649,ST朗源,239637.2,47080.0,300175,47080.0,239637.2
1650,鸿特科技,254830.77,38728.08,300176,38728.08,254830.77
1651,中海达,762773.29,60630.33,300177,74416.91,621460.83
1652,四方达,446064.31,37563.98,300179,48590.88,344837.32
1653,华峰超纤,1285573.91,148559.12,300180,176106.02,1084481.57
1654,佐力药业,1113101.7,60291.09,300181,70138.73,956819.63
1655,捷成股份,1425146.71,225955.83,300182,266382.56,1208863.71
1656,东软载波,797538.15,40653.71,300183,46260.91,700869.98
1657,力源信息,1207096.47,104838.67,300184,115401.19,1096612.47
1658,通裕重工,1075568.37,364691.07,300185,389698.68,1006547.35
1659,永清环保,323456.7,64220.1,300187,64562.22,321742.72
1660,国投智能,1154278.03,85569.55,300188,85947.73,1149199.04
1661,神农种业,444416.0,88624.76,300189,102400.0,384631.45
1662,维尔利,255582.46,77617.36,300190,78159.77,253808.78
1663,潜能恒信,525440.0,22119.5,300191,32000.0,363202.19
1664,科德教育,517413.31,32313.58,300192,32914.33,507969.52
1665,佳士科技,469905.93,43702.75,300193,49359.87,416050.21
1666,福安药业,490161.5,96789.08,300194,118971.24,398771.01
1667,长荣股份,273291.5,31391.25,300195,42370.78,202473.55
1668,长海股份,478198.36,24631.73,300196,40871.65,288191.28
1669,节能铁汉,569337.23,296522.31,300197,296529.81,569322.83
1670,ST纳川,245508.55,102446.64,300198,103154.85,243823.01
1671,翰宇药业,1288649.11,70628.31,300199,88324.13,1030467.08
1672,高盟新材,416751.09,42326.31,300200,43097.32,409295.38
1673,海伦哲,526720.76,100544.31,300201,100904.36,524841.31
1674,聚光科技,924848.19,44836.85,300203,44873.76,924087.53
1675,舒泰神,526027.58,47197.93,300204,47777.26,519649.21
1676,*ST天喻,136757.81,43005.6,300205,43005.6,136757.81
1677,理邦仪器,682263.76,33837.96,300206,57966.33,398272.75
1678,欣旺达,3610397.21,171168.52,300207,184580.63,3348056.24
1679,*ST中程,64454.85,68739.11,300208,74947.5,59115.64
1680,*ST有树,489391.24,49001.85,300209,92863.61,258239.77
1681,森远股份,465335.37,48372.3,300210,48422.0,464857.81
1682,*ST亿通,189044.29,29848.18,300211,30392.97,185655.69
1683,易华录,1613998.81,69852.66,300212,71989.24,1566096.68
1684,佳讯飞鸿,485068.07,55116.33,300213,59371.86,450300.39
1685,日科化学,297238.91,40268.31,300214,46516.26,257314.49
1686,电科院,409754.52,56217.57,300215,74909.42,307510.13
1687,东方电热,740466.45,122695.15,300217,147797.69,614702.71
1688,安利股份,305734.68,21627.64,300218,21698.7,304733.44
1689,鸿利智汇,448836.18,70663.58,300219,70794.35,448007.08
1690,金运激光,242978.4,15101.93,300220,15120.0,242688.09
1691,银禧科技,423911.76,45249.94,300221,47953.82,400009.46
1692,科大智能,785285.77,63380.35,300222,77828.12,639507.74
1693,北京君正,3268896.56,41959.06,300223,48156.99,2848180.99
1694,正海磁材,1091541.93,83254.83,300224,83771.45,1084810.48
1695,金力泰,200631.29,47434.96,300225,47542.96,200175.53
1696,上海钢联,669952.43,30635.57,300226,31872.14,643959.61
1697,光韵达,439188.28,41258.54,300227,49458.14,366375.86
1698,富瑞特装,430022.38,54999.13,300228,58586.15,403693.61
1699,拓尔思,1645901.84,87303.02,300229,87362.09,1644788.96
1700,永利股份,380583.89,62982.25,300230,81321.34,294756.93
1701,银信科技,502911.97,44424.57,300231,44426.85,502886.14
1702,洲明科技,771412.75,88626.74,300232,109110.71,626591.05
1703,金城医药,653738.42,37170.43,300233,38387.46,633012.44
1704,开尔新材,239006.27,34398.7,300234,50317.11,163393.85
1705,方直科技,264837.46,20313.2,300235,25174.66,213694.88
1706,上海新阳,1148856.22,27872.7,300236,31338.14,1021813.06
1707,美晨科技,246567.45,144190.14,300237,144191.49,246565.14
1708,冠昊生物,350270.68,26513.41,300238,26515.57,350242.12
1709,东宝生物,312831.38,58976.18,300239,59360.79,310804.46
1710,飞力达,293534.73,36337.89,300240,37156.3,287069.31
1711,瑞丰光电,366994.54,57182.46,300241,68597.11,305926.17
1712,佳云科技,274762.41,62957.66,300242,63455.52,272606.68
1713,瑞丰高材,240659.79,19451.32,300243,25042.64,186927.18
1714,迪安诊断,891845.66,50145.91,300244,62497.94,715582.08
1715,天玑科技,531310.45,31127.64,300245,31345.75,527613.57
1716,宝莱特,194463.01,21129.63,300246,26457.55,155302.8
1717,融捷健康,303123.2,80327.53,300247,80404.03,302834.79
1718,新开普,657837.13,40915.44,300248,47634.84,565042.17
1719,依米康,625052.46,37359.69,300249,44048.8,530134.04
1720,初灵信息,325596.64,15767.48,300250,21406.75,239823.37
1721,光线传媒,5459445.29,278130.51,300251,293360.84,5176008.76
1722,金信诺,695923.68,52977.77,300252,66215.38,556796.35
1723,卫宁健康,2216251.15,191199.17,300253,221182.75,1915815.67
1724,仟源医药,225224.94,22502.16,300254,24831.86,204094.59
1725,常山药业,2388639.22,91607.77,300255,91906.09,2380885.9
1726,星星科技,986751.12,164339.34,300256,226839.34,714876.12
1727,开山股份,958857.79,95455.67,300257,99363.5,921147.23
1728,精锻科技,729196.36,49836.45,300258,51351.86,707677.53
1729,新天科技,414109.74,116953.32,300259,116980.15,414014.76
1730,新莱应材,1323332.91,28763.69,300260,40780.68,933381.89
1731,雅本化学,649270.58,93707.94,300261,96330.95,631591.5
1732,隆华科技,681962.62,77251.3,300263,90445.97,582474.79
1733,佳创视讯,232232.2,37041.23,300264,43085.75,199652.21
1734,通光线缆,389092.47,45799.54,300265,45829.5,388838.09
1735,兴源环境,421081.78,155291.47,300266,155380.73,420839.87
1736,尔康制药,608468.44,142239.19,300267,206260.49,419605.61
1737,*ST佳沃,176116.2,13370.75,300268,17420.0,135178.28
1738,联建光电,217449.07,52567.51,300269,54911.38,208167.34
1739,中威电子,216809.12,25670.79,300270,30280.6,183802.86
1740,华宇软件,638934.35,79724.25,300271,81186.07,627429.85
1741,开能健康,351525.71,43112.05,300272,57721.79,262552.36
1742,阳光电源,12961717.82,158995.88,300274,207321.14,9940422.57
1743,梅安森,396092.89,25550.86,300275,30515.63,331650.18
1744,三丰智能,1710673.49,102076.99,300276,140104.3,1246360.07
1745,海联讯,417075.0,33462.23,300277,33500.0,416604.76
1746,华昌达,788936.11,141706.52,300278,142150.65,786471.17
1747,和晶科技,330142.16,45883.58,300279,48909.95,309714.13
1748,紫天科技,141645.46,16047.42,300280,16206.57,140254.42
1749,金明精机,332206.4,39732.59,300281,41892.36,315079.45
1750,温州宏丰,255810.1,30752.25,300283,43728.22,179900.66
1751,苏交科,1139070.65,119444.77,300284,126282.78,1077391.81
1752,国瓷材料,1697973.25,80394.98,300285,99704.83,1369126.59
1753,安科瑞,568779.6,17576.09,300286,25078.47,398625.72
1754,飞利信,813800.25,131075.09,300287,143527.38,743195.75
1755,朗玛信息,471090.31,25656.94,300288,33794.14,357657.73
1756,利德曼,262213.54,54315.65,300289,54401.15,261801.43
1757,荣科科技,1088824.83,63922.2,300290,63973.26,1087955.79
1758,百纳千成,445513.8,92897.86,300291,94188.97,439406.9
1759,吴通控股,653439.54,111594.48,300292,134176.5,543465.12
1760,蓝英装备,736779.76,28033.59,300293,33843.81,610291.29
1761,博雅生物,1355924.86,50424.87,300294,50424.87,1355924.86
1762,三六五网,298262.37,16754.86,300295,18961.37,263553.99
1763,利亚德,1678713.9,227452.71,300296,271197.72,1407932.26
1764,三诺生物,1204706.58,45529.88,300298,56426.54,972062.87
1765,富春股份,421773.35,68897.56,300299,69030.01,420964.08
1766,ST峡创,212724.21,66679.8,300300,66684.71,212708.55
1767,*ST长方,158504.93,78987.67,300301,82986.88,150866.45
1768,同有科技,695891.03,36888.89,300302,47926.38,535626.68
1769,聚飞光电,856249.27,132069.72,300303,140830.47,802983.89
1770,云意电气,666511.08,85558.34,300304,87814.37,649387.79
1771,裕兴股份,216981.37,32147.42,300305,37540.03,185812.08
1772,远方信息,326515.96,15756.49,300306,26895.88,191283.84
1773,慈星股份,660814.98,78221.12,300307,79424.88,650799.75
1774,中际旭创,10472560.97,109924.86,300308,110470.05,10420876.46
1775,宜通世纪,551036.58,69174.04,300310,88165.85,432337.78
1776,任子行,400136.31,53740.91,300311,67363.02,319221.0
1777,*ST天山,164626.11,19735.28,300313,31297.74,103807.57
1778,戴维医疗,349632.0,14374.14,300314,28800.0,174502.12
1779,掌趣科技,1330162.27,258302.43,300315,272016.82,1263098.89
1780,晶盛机电,3721695.05,123155.54,300316,130953.38,3500080.54
1781,珈伟新能,313811.22,82891.34,300317,83018.84,313329.27
1782,博晖创新,476252.99,79853.95,300318,81690.05,465548.52
1783,麦捷科技,930962.52,82971.0,300319,87909.59,878662.88
1784,海达股份,631295.9,48578.78,300320,60123.42,510077.14
1785,同大股份,272882.4,8866.12,300321,8880.0,272455.87
1786,硕贝德,719578.23,44613.9,300322,46574.64,689284.81
1787,华灿光电,1093901.19,87914.99,300323,162299.88,592547.02
1788,旋极信息,665122.38,170986.7,300324,172759.06,658298.8
1789,ST凯利,316925.64,71658.87,300326,71702.63,316732.21
1790,中颖电子,749349.36,34031.52,300327,34138.92,746991.77
1791,宜安科技,737372.4,68636.8,300328,69042.36,733041.0
1792,海伦钢琴,183850.14,25214.04,300329,25288.88,183306.09
1793,苏大维格,527893.43,20617.68,300331,25966.23,419157.46
1794,天壕能源,400548.37,82963.39,300332,86511.53,384120.51
1795,兆日科技,390096.0,33478.01,300333,33600.0,388679.66
1796,津膜科技,193019.76,30202.98,300334,30206.54,192997.02
1797,迪森股份,252816.57,38416.12,300335,47701.24,203605.42
1798,银邦股份,870413.28,71138.39,300337,82192.0,753355.59
1799,*ST开元,169505.0,34938.62,300338,40262.47,147091.61
1800,润和软件,4582547.98,77768.67,300339,79641.08,4474809.08
1801,科恒股份,273134.43,21046.46,300340,27589.34,208359.92
1802,麦克奥迪,800951.2,51532.77,300341,51741.03,797727.22
1803,天银机电,733185.57,41774.85,300342,42503.51,720616.14
1804,ST联创,463932.6,106621.94,300343,106896.91,462739.21
1805,ST立方,316361.26,63942.34,300344,64170.64,315235.74
1806,华民股份,494143.5,44335.06,300345,57794.56,379064.77
1807,南大光电,2226216.38,65655.11,300346,69115.69,2114751.03
1808,泰格医药,3874104.64,57013.67,300347,86494.86,2553642.4
1809,长亮科技,1056742.18,70805.92,300348,81225.38,921184.99
1810,金卡智能,508279.71,37022.58,300349,41833.72,449824.36
1811,华鹏飞,337207.37,47156.54,300350,56201.23,282939.25
1812,永贵电器,617495.72,26188.25,300351,38787.42,416916.93
1813,北信源,713313.45,122194.34,300352,144982.41,601196.14
1814,东土科技,1312181.41,52220.25,300353,61489.29,1114380.24
1815,东华测试,570432.51,8120.0,300354,13832.02,334868.8
1816,蒙草生态,689824.09,136606.58,300355,160424.21,587408.29
1817,我武生物,1035649.15,48406.42,300357,52358.4,957479.0
1818,楚天科技,448631.6,57618.65,300358,59030.47,437901.7
1819,全通教育,347066.72,63330.17,300359,63333.34,347049.33
1820,炬华科技,824756.15,50019.49,300360,51418.71,802312.6
1821,博腾股份,806742.03,50045.05,300363,54546.45,740166.31
1822,中文在线,1593229.76,66042.55,300364,72850.01,1444350.51
1823,恒华科技,363512.41,47429.76,300365,59985.55,287424.36
1824,创意信息,453859.38,53050.25,300366,60757.62,396285.36
1825,ST汇金,361268.39,52894.35,300368,52894.35,361268.39
1826,绿盟科技,568308.36,79822.71,300369,79930.85,567539.45
1827,安控科技,443001.47,132484.72,300370,156537.62,374931.76
1828,汇中股份,221942.68,13441.04,300371,20121.73,148254.65
1829,扬杰科技,2564601.55,54214.79,300373,54334.78,2558937.9
1830,中铁装配,384852.81,20342.44,300374,24591.23,318359.18
1831,鹏翎股份,371646.38,50511.87,300375,75537.88,248518.41
1832,ST易事特,817212.41,232743.49,300376,232824.05,816929.65
1833,赢时胜,1658965.8,66873.98,300377,75100.31,1477246.17
1834,鼎捷数智,976200.01,26938.06,300378,27139.28,968961.95
1835,*ST东通,302952.1,52663.76,300379,55792.28,285964.2
1836,安硕信息,661046.46,12737.35,300380,13843.9,608208.67
1837,溢多利,370751.4,48934.08,300381,49106.15,369452.28
1838,斯莱克,940828.39,64820.41,300382,64840.0,940544.18
1839,光环新网,2617295.19,179374.28,300383,179759.28,2611689.47
1840,三联虹普,563366.83,22000.02,300384,31900.73,388520.38
1841,雪浪环境,164907.24,28949.31,300385,33314.59,143299.1
1842,飞天诚信,743282.23,24821.52,300386,41804.4,441326.54
1843,富邦科技,244253.18,28895.66,300387,28905.7,244168.36
1844,节能国祯,472643.31,68011.37,300388,68104.22,471998.94
1845,艾比森,390508.14,23318.13,300389,36910.03,246705.84
1846,天华新能,1539381.21,67200.79,300390,83075.08,1245230.55
1847,*ST长药,173066.04,35033.61,300391,35033.61,173066.04
1848,中来股份,578592.13,95406.85,300393,108962.74,506610.37
1849,天孚通信,4106041.66,55275.91,300394,55397.22,4097050.5
1850,菲利华,2495917.21,51304.3,300395,52226.77,2451832.42
1851,迪瑞医疗,358873.41,27245.19,300396,27270.02,358546.75
1852,天和防务,666716.13,40550.54,300397,51763.67,522290.97
1853,飞凯材料,1046407.73,52699.89,300398,53009.51,1040295.81
1854,天利科技,407253.6,19758.07,300399,19760.0,407213.87
1855,劲拓股份,397178.43,23997.77,300400,24262.58,392843.49
1856,花园生物,846722.09,53468.33,300401,54346.73,833036.62
1857,宝色股份,433857.69,24361.85,300402,24679.05,428281.32
1858,汉宇集团,1049220.0,42293.95,300403,60300.0,735914.75
1859,博济医药,317265.53,27805.73,300404,38317.09,230231.4
1860,科隆股份,144461.32,21879.28,300405,28437.27,111146.77
1861,九强生物,813655.68,42432.78,300406,58832.66,586845.32
1862,凯发电气,322973.5,24426.01,300407,31820.05,247923.98
1863,三环集团,6498842.59,186980.8,300408,191649.74,6340518.99
1864,道氏技术,1134260.98,68748.96,300409,78224.9,996859.98
1865,正业科技,207419.86,36691.73,300410,36711.48,207308.29
1866,金盾股份,503678.29,30640.03,300411,40652.0,379629.94
1867,迦南科技,250869.34,46786.16,300412,49775.66,235802.27
1868,芒果超媒,4353167.34,102170.0,300413,187072.08,2377495.8
1869,中光防雷,269618.1,31353.98,300414,32601.95,259297.44
1870,伊之密,967112.14,45309.21,300415,46856.21,935182.17
1871,苏试试验,819270.52,50514.34,300416,50854.78,813786.09
1872,南华仪器,158784.58,8699.97,300417,13456.32,102659.69
1873,昆仑万维,3939552.68,123149.51,300418,123149.51,3939552.68
1874,ST浩丰,176521.81,36775.38,300419,36775.38,176521.81
1875,五洋自控,373988.49,111629.69,300420,111638.36,373959.45
1876,力星股份,495735.4,23034.41,300421,29403.05,388360.11
1877,博世科,235975.13,51654.04,300422,53388.04,228310.84
1878,昇辉科技,358208.13,33332.08,300423,49751.13,239990.99
1879,航新科技,393667.22,24495.79,300424,24542.84,392912.43
1880,中建环能,349981.35,67874.47,300425,68222.49,348196.06
1881,华智数媒,457063.18,40000.0,300426,45524.22,401600.0
1882,红相股份,307654.78,49480.69,300427,50852.03,299358.19
1883,立中集团,1133068.45,55140.93,300428,63335.3,986471.19
1884,强力新材,611919.04,39864.47,300429,53630.07,454853.62
1885,诚益通,473464.53,25986.3,300430,27304.76,450602.37
1886,富临精工,2465718.52,120657.27,300432,122125.73,2436070.27
1887,蓝思科技,10448873.24,496569.63,300433,498277.22,10413065.22
1888,金石亚药,318582.89,34212.11,300434,40174.39,271302.02
1889,中泰股份,546169.61,36881.46,300435,38571.3,522241.52
1890,广生堂,491338.7,13672.2,300436,15926.7,421787.27
1891,清水源,193103.53,17581.06,300437,25242.29,134495.11
1892,鹏辉能源,1218090.93,40416.59,300438,50334.34,978081.58
1893,美康生物,395852.26,29172.56,300439,38394.98,300769.04
1894,运达科技,400858.5,44222.36,300440,44391.86,399327.88
1895,鲍斯股份,556130.89,62695.92,300441,64441.59,541065.82
1896,润泽科技,8044483.75,55425.24,300442,172148.16,2590021.68
1897,金雷股份,646671.89,24277.4,300443,32013.46,490403.57
1898,双杰电气,531085.68,59230.09,300444,79862.51,393880.09
1899,康斯特,371540.09,14206.47,300445,21243.0,248471.24
1900,航天智造,1509902.46,31153.64,300446,84541.01,556404.04
1901,全信股份,442543.8,20133.14,300447,31231.04,285286.58
1902,浩云科技,429588.35,49377.39,300448,67651.71,313546.43
1903,汉邦高科,321608.66,29626.71,300449,38748.03,245901.67
1904,先导智能,3132326.07,155942.11,300450,156616.3,3118842.23
1905,创业慧康,876804.58,152669.38,300451,154912.47,864108.67
1906,山河药辅,285793.12,18680.15,300452,23444.88,227711.04
1907,三鑫医疗,425753.98,35652.05,300453,52239.75,290564.25
1908,深信服,4028966.28,27822.84,300454,42188.13,2657081.51
1909,航天智装,920896.26,70862.24,300455,71776.79,909162.59
1910,赛微电子,1210348.31,59349.66,300456,73221.31,981049.84
1911,赢合科技,1116611.9,63762.49,300457,64919.3,1096714.76
1912,全志科技,3309547.83,67334.93,300458,82327.06,2706864.33
1913,汤姆猫,1821190.07,328086.6,300459,351581.09,1699488.61
1914,惠伦晶体,250196.59,28080.43,300460,28080.43,250196.59
1915,田中精机,307278.36,11400.88,300461,15574.17,224939.29
1916,华铭智能,173429.39,13673.44,300462,18122.19,130854.83
1917,迈克生物,710464.72,49150.48,300463,61246.96,570145.59
1918,星徽股份,228335.03,35534.27,300464,46221.67,175539.28
1919,高伟达,642549.07,44374.94,300465,44374.94,642549.07
1920,赛摩智能,652275.43,41998.63,300466,53552.99,511543.26
1921,迅游科技,366175.22,16855.73,300467,20320.49,303740.21
1922,四方精创,1016193.36,52979.41,300468,53064.93,1014555.63
1923,信息发展,783689.97,24823.26,300469,24823.88,783670.17
1924,中密控股,778976.92,19751.92,300470,20817.13,739116.94
1925,厚普股份,392445.05,36655.2,300471,40416.59,355921.98
1926,*ST新元,85330.17,24584.16,300472,27525.86,76210.89
1927,德尔股份,449295.95,15005.0,300473,15097.31,446548.76
1928,景嘉微,3611298.83,40646.15,300474,52261.92,2808648.68
1929,香农芯创,1401523.94,44024.08,300475,45756.58,1348457.47
1930,胜宏科技,6665132.44,85520.87,300476,86268.86,6607342.52
